story_id,Question,paragraph,ans_st_index,ans_en_index,Question1
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,What was the amount of children murdered?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",294,297,what was the amount of children murdered
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,When was Pandher sentenced to death?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",261,271,when was pandher sentenced to death
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,The court aquitted Moninder Singh Pandher of what crime?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",624,640,the court aquitted moninder singh pandher of what crime
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,who was acquitted,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",195,218,who was acquitted
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,who was sentenced,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",195,218,who was sentenced
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,What was Moninder Singh Pandher acquitted for?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",129,151,what was moninder singh pandher acquitted for
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,Who was sentenced to death in February?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",195,218,who was sentenced to death in february
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,how many people died,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",294,297,how many people died
./cnn/stories/42d01e187213e86f5fe617fe32e716ff7fa3afc4.story,How many children and young women were murdered?,"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""



Moninder Singh Pandher was sentenced to death by a lower court in February.



The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.



The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.



Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.



The high court upheld Koli's death sentence, Kochar said.



The two were arrested two years ago after body parts packed in plastic bags were found near their home in Noida, a New Delhi suburb. Their home was later dubbed a ""house of horrors"" by the Indian media.



Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.



Kochar said his client was in Australia when the teen was raped and killed.



Pandher faces trial in the remaining 18 killings and could remain in custody, the attorney said.",294,297,how many children and young women were murdered
./cnn/stories/c48228a52f26aca65c31fad273e66164f047f292.story,Where was one employee killed?,"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.



Refugee camps in eastern Chad house about 300,000 people who fled violence in the Darfur region of Sudan.



The U.N. High Commissioner for Refugees said on Monday that more than 12,000 people have fled militia attacks over the last few days from Sudan's Darfur region to neighboring Chad, still recovering from a recent attempt by rebels there to topple the government.



""Most of the new arrivals in Chad had already been displaced in Darfur in recent years. They are really tired of being attacked and having to move,"" said UNHCR's Jorge Holly. ""All the new refugees we talked to said they did not want to go back to Darfur at this point, they wanted to be transferred to a refugee camp in eastern Chad.""



This latest influx of refugees in Chad aggravates an already deteriorating security situation across this politically unstable region of Africa.



Before the latest flight into Chad, the UNHCR and its partner groups ""were taking care of 240,000 Sudanese refugees in 12 camps in eastern Chad and some 50,000 from Central African Republic in the south of the country."" Up to 30,000 people in Chad fled the country for Cameroon during the rebel-government fighting.



The International Committee of the Red Cross said on Monday that one of its employees was killed in western Darfur last week during fighting. The victim is a 45-year-old Sudanese national and father of six children.



He was killed in the area of Seleia, one of the three towns where reported government-backed Janjaweed militia attacks on Friday left around 200 people dead.



U.N. Secretary-General Ban Ki-moon last week deplored the acts, urged all parties to stop hostilities, and said ""all parties must adhere to international humanitarian law, which prohibits military attacks against civilians.""



The United Nations says ""more than 200,000 people have been killed and 2.2 million others forced to flee their homes since fighting began in 2003 among government forces, rebel groups and allied militia groups known as the Janjaweed.""



The recent fight between Chad's government and rebels is seen as a proxy war over Darfur. Sudan's government believes Chad is supporting rebels in Darfur. Chad's government believes Sudan is supporting the rebels that moved on Chad's capital of N'Djamena. E-mail to a friend",34,60,where was one employee killed
